tvl
"{'date': 1632441600, 'totalLiquidityUSD': 1416755071.7129006}"
"{'date': 1632528000, 'totalLiquidityUSD': 1339145851.4457178}"
"{'date': 1632614400, 'totalLiquidityUSD': 1334897045.380615}"
"{'date': 1632700800, 'totalLiquidityUSD': 1359592400.9272127}"
"{'date': 1632787200, 'totalLiquidityUSD': 1280363903.6065855}"
"{'date': 1632873600, 'totalLiquidityUSD': 1271538877.3266675}"
"{'date': 1632960000, 'totalLiquidityUSD': 1336268560.2829971}"
"{'date': 1633046400, 'totalLiquidityUSD': 1449336229.7351077}"
"{'date': 1633132800, 'totalLiquidityUSD': 1471717244.7965317}"
"{'date': 1633219200, 'totalLiquidityUSD': 1461286597.391723}"
"{'date': 1633305600, 'totalLiquidityUSD': 1446317060.51875}"
"{'date': 1633392000, 'totalLiquidityUSD': 1499300034.2374456}"
"{'date': 1633478400, 'totalLiquidityUSD': 1493918393.3366177}"
"{'date': 1633564800, 'totalLiquidityUSD': 1508129328.2620945}"
"{'date': 1633651200, 'totalLiquidityUSD': 1506268495.25684}"
"{'date': 1633737600, 'totalLiquidityUSD': 1489951876.4577289}"
"{'date': 1633824000, 'totalLiquidityUSD': 1498880720.8711276}"
"{'date': 1633910400, 'totalLiquidityUSD': 1443532436.1002853}"
"{'date': 1633996800, 'totalLiquidityUSD': 1457041895.8675249}"
"{'date': 1634083200, 'totalLiquidityUSD': 1438716625.8144917}"
"{'date': 1634169600, 'totalLiquidityUSD': 1477155743.4484625}"
"{'date': 1634256000, 'totalLiquidityUSD': 1510942434.1251876}"
"{'date': 1634342400, 'totalLiquidityUSD': 1557280906.3727996}"
"{'date': 1634428800, 'totalLiquidityUSD': 1544889552.9659717}"
"{'date': 1634515200, 'totalLiquidityUSD': 1538724550.6053233}"
"{'date': 1634601600, 'totalLiquidityUSD': 1508730747.2636867}"
"{'date': 1634688000, 'totalLiquidityUSD': 1521676488.3396914}"
"{'date': 1634774400, 'totalLiquidityUSD': 1582580953.331972}"
"{'date': 1634860800, 'totalLiquidityUSD': 1553818606.4699805}"
"{'date': 1634947200, 'totalLiquidityUSD': 1581133020.7063036}"
"{'date': 1635033600, 'totalLiquidityUSD': 1632514044.0425715}"
"{'date': 1635120000, 'totalLiquidityUSD': 1605369353.2902124}"
"{'date': 1635206400, 'totalLiquidityUSD': 1668641456.619788}"
"{'date': 1635292800, 'totalLiquidityUSD': 1692880434.9686365}"
"{'date': 1635379200, 'totalLiquidityUSD': 1572851792.5424275}"
"{'date': 1635465600, 'totalLiquidityUSD': 1663293770.1559927}"
"{'date': 1635552000, 'totalLiquidityUSD': 1688725610.7915215}"
"{'date': 1635638400, 'totalLiquidityUSD': 1706789803.2718496}"
"{'date': 1635724800, 'totalLiquidityUSD': 1683613999.5767999}"
"{'date': 1635811200, 'totalLiquidityUSD': 1702150383.0248713}"
"{'date': 1635897600, 'totalLiquidityUSD': 1760579524.2839181}"
"{'date': 1635984000, 'totalLiquidityUSD': 1749697227.0061924}"
"{'date': 1636070400, 'totalLiquidityUSD': 1724112609.5614557}"
"{'date': 1636156800, 'totalLiquidityUSD': 1738506106.1004095}"
"{'date': 1636243200, 'totalLiquidityUSD': 1730292856.7728412}"
"{'date': 1636329600, 'totalLiquidityUSD': 1795245681.3473759}"
"{'date': 1636416000, 'totalLiquidityUSD': 1861019931.9678516}"
"{'date': 1636502400, 'totalLiquidityUSD': 1849206448.4666538}"
