tvl
"{'date': 1587074400, 'totalLiquidityUSD': 90424355.20110431}"
"{'date': 1587160800, 'totalLiquidityUSD': 93063293.51669787}"
"{'date': 1587247200, 'totalLiquidityUSD': 92052132.9715807}"
"{'date': 1587333600, 'totalLiquidityUSD': 91055649.04520884}"
"{'date': 1587420000, 'totalLiquidityUSD': 85991538.53856474}"
"{'date': 1587506400, 'totalLiquidityUSD': 82915249.99294068}"
"{'date': 1587592800, 'totalLiquidityUSD': 84831509.0997615}"
"{'date': 1587679200, 'totalLiquidityUSD': 84252101.43015133}"
"{'date': 1587765600, 'totalLiquidityUSD': 86597550.4323231}"
"{'date': 1587852000, 'totalLiquidityUSD': 87873809.58136031}"
"{'date': 1587938400, 'totalLiquidityUSD': 88718821.71467619}"
"{'date': 1588024800, 'totalLiquidityUSD': 89927299.01923208}"
"{'date': 1588111200, 'totalLiquidityUSD': 90295583.05074707}"
"{'date': 1588197600, 'totalLiquidityUSD': 92180524.46904579}"
"{'date': 1588284000, 'totalLiquidityUSD': 95043022.01965214}"
"{'date': 1588370400, 'totalLiquidityUSD': 98910818.0572721}"
"{'date': 1588456800, 'totalLiquidityUSD': 97714454.79174498}"
"{'date': 1588543200, 'totalLiquidityUSD': 98056259.4236157}"
"{'date': 1588629600, 'totalLiquidityUSD': 92565014.58371104}"
"{'date': 1588716000, 'totalLiquidityUSD': 94853273.36472814}"
"{'date': 1588802400, 'totalLiquidityUSD': 95094404.36272833}"
"{'date': 1588888800, 'totalLiquidityUSD': 90804056.28669427}"
"{'date': 1588975200, 'totalLiquidityUSD': 93977636.6483714}"
"{'date': 1589061600, 'totalLiquidityUSD': 96907086.92750123}"
"{'date': 1589148000, 'totalLiquidityUSD': 93675355.19743754}"
"{'date': 1589234400, 'totalLiquidityUSD': 92763542.7637476}"
"{'date': 1589320800, 'totalLiquidityUSD': 94178515.20307106}"
"{'date': 1589407200, 'totalLiquidityUSD': 97225103.3501562}"
"{'date': 1589493600, 'totalLiquidityUSD': 98613865.46588095}"
"{'date': 1589580000, 'totalLiquidityUSD': 96722961.84163886}"
"{'date': 1589666400, 'totalLiquidityUSD': 100298073.77617458}"
"{'date': 1589752800, 'totalLiquidityUSD': 100452123.94131428}"
"{'date': 1589839200, 'totalLiquidityUSD': 100508037.10351823}"
"{'date': 1589925600, 'totalLiquidityUSD': 101671307.21602306}"
"{'date': 1590012000, 'totalLiquidityUSD': 101565531.55053}"
"{'date': 1590098400, 'totalLiquidityUSD': 102541424.59445842}"
"{'date': 1590184800, 'totalLiquidityUSD': 98494388.52273561}"
"{'date': 1590271200, 'totalLiquidityUSD': 97618794.93691242}"
"{'date': 1590357600, 'totalLiquidityUSD': 93369308.9093501}"
"{'date': 1590444000, 'totalLiquidityUSD': 90339446.26419544}"
"{'date': 1590530400, 'totalLiquidityUSD': 93366370.0219625}"
"{'date': 1590616800, 'totalLiquidityUSD': 93581809.86192153}"
"{'date': 1590703200, 'totalLiquidityUSD': 90849152.09932435}"
"{'date': 1590789600, 'totalLiquidityUSD': 92705195.18868096}"
"{'date': 1590876000, 'totalLiquidityUSD': 96032898.14222941}"
"{'date': 1590962400, 'totalLiquidityUSD': 98195795.34003551}"
"{'date': 1591048800, 'totalLiquidityUSD': 103831735.10480201}"
"{'date': 1591135200, 'totalLiquidityUSD': 100902461.05679126}"
"{'date': 1591221600, 'totalLiquidityUSD': 108545208.00020103}"
"{'date': 1591308000, 'totalLiquidityUSD': 109120308.57293358}"
"{'date': 1591394400, 'totalLiquidityUSD': 111462801.52963217}"
"{'date': 1591480800, 'totalLiquidityUSD': 110447797.72307813}"
"{'date': 1591567200, 'totalLiquidityUSD': 109712425.35348433}"
"{'date': 1591653600, 'totalLiquidityUSD': 111190520.36752717}"
